;Ativo;Nome;Período;Dividendo;Dividend Yield;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira
0;GWIR11;FII GWI RI;Novembro/2016;R$ 1,3400;0,57%;7,10%;7,67%;-12,29%;R$ 82.010.123,97;R$ 214,6766;10873.0;0,62%;0,04%;0,66%;5,55%;;
1;FIVN11;FII VIDANOVA;Novembro/2016;R$ 0,0000;0,00%;-10,31%;-10,31%;-30,00%;R$ 142.866.630,48;R$ 15,1782;4612.0;0,00%;0,00%;0,00%;0,03%;;
2;BNFS11;FII BANRISUL;Novembro/2016;R$ 0,7923;0,72%;2,19%;2,91%;30,65%;R$ 66.291.505,84;R$ 94,7022;11544.0;0,84%;0,03%;0,87%;8,30%;;
3;THRA11B;FII BM THERA;Novembro/2016;R$ 0,0000;0,00%;1,33%;1,33%;32,18%;R$ 103.772.344,66;R$ 70,4600;11023.0;0,00%;-0,72%;-0,72%;5,33%;;
4;TRNT11B;FII TORRE NO;Novembro/2016;R$ 0,7792;0,49%;2,06%;2,55%;11,08%;R$ 659.395.717,71;R$ 167,5480;9464.0;0,47%;0,05%;0,52%;5,56%;;
5;MFII11;FII MERITO I;Novembro/2016;R$ 1,1700;1,11%;1,83%;2,94%;18,02%;R$ 40.698.286,27;R$ 102,1100;10323.0;1,15%;-0,39%;0,76%;12,75%;;
6;ONEF11;FII THE ONE;Novembro/2016;R$ 6,4000;0,71%;3,27%;3,98%;24,94%;R$ 96.222.481,95;R$ 1.056,2292;8568.0;0,61%;12,02%;12,63%;32,19%;0,00%;
7;KNRI11;FII KINEA;Novembro/2016;R$ 0,9200;0,64%;3,29%;3,93%;49,45%;R$ 1.999.982.124,78;R$ 144,9600;9902.0;0,63%;-0,10%;0,54%;-0,81%;2,40%;10,98%
8;FIGS11;FII GEN SHOP;Novembro/2016;R$ 0,8333;1,29%;-0,72%;0,57%;27,54%;R$ 231.479.820,19;R$ 89,3200;7233.0;0,93%;-0,13%;0,80%;2,81%;;
9;PORD11;FII POLO CRI;Novembro/2016;R$ 0,0000;0,00%;0,79%;0,79%;18,12%;R$ 110.664.283,22;R$ 110,6643;9724.0;0,00%;0,79%;0,79%;14,08%;;
