;Ativo;Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
0;AEFI11;R$ 1,1500;0,8363%;2,3804%;5,1359%;10,3269%;0,7935%;0,8560%;0,8606%;-6,8469%;-6,0678%;1,3854%;R$ 99.550.929,6300;R$ 132,2936;10394;0,8693%;0,1805%;1,0514%;4,9335%;0,0000%;;2
1;BCRI11;R$ 0,9200;0,8213%;2,7761%;5,7021%;12,9669%;0,9254%;0,9504%;1,0806%;1,7849%;2,6209%;3,9169%;R$ 117.874.013,8200;R$ 97,4165;11498;0,9444%;1,1804%;2,1360%;6,8031%;;;0
2;BNFS11;R$ 0,7439;0,6221%;1,9075%;3,8729%;7,8081%;0,6358%;0,6455%;0,6507%;-3,8462%;-3,2480%;3,5479%;R$ 62.357.553,0400;R$ 89,0822;13423;0,8351%;0,1086%;0,9445%;4,2616%;;;0
3;BBFI11B;R$ 21,7059;0,8055%;2,6068%;5,3372%;10,4332%;0,8689%;0,8895%;0,8694%;1,6872%;2,5064%;11,8962%;R$ 474.686.543,8300;R$ 3.651,4350;7380;0,5944%;-0,0021%;0,5923%;8,7064%;;;0
4;BBPO11;R$ 0,9550;0,7052%;2,1194%;4,6896%;9,3256%;0,7065%;0,7816%;0,7771%;0,4962%;1,2049%;9,0576%;R$ 1.483.591.145,4000;R$ 93,1922;14532;1,0248%;-0,0632%;0,9610%;5,1364%;;;0
5;BBRC11;R$ 0,8400;0,6699%;1,9718%;4,1816%;8,7892%;0,6573%;0,6969%;0,7324%;-1,3167%;-0,6557%;7,8870%;R$ 153.329.759,2300;R$ 96,4338;13004;0,8711%;0,0514%;0,9229%;4,5887%;;;0
6;RNDP11;R$ 9,2556;0,9163%;2,6647%;5,6354%;12,3331%;0,8882%;0,9392%;1,0278%;-3,1077%;-2,2199%;1,8208%;R$ 111.853.939,5900;R$ 1.040,6857;9706;0,8894%;0,0125%;0,9020%;4,6206%;;;0
7;BCIA11;R$ 0,8400;0,7142%;1,9059%;4,1283%;9,4939%;0,6353%;0,6881%;0,7912%;-1,9916%;-1,2916%;1,3837%;R$ 96.152.173,1300;R$ 117,2423;10031;0,7165%;0,3963%;1,1156%;7,0019%;;;0
8;CARE11;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;R$ 49.301.134,9100;R$ 1,2839;13071;0,0000%;0,0000%;0,0000%;0,0000%;;;0
9;CXRI11;R$ 8,0000;0,7871%;2,2694%;4,5910%;10,0038%;0,7565%;0,7652%;0,8336%;0,3337%;1,1235%;4,5617%;R$ 175.140.758,3200;R$ 1.111,4685;9144;0,7198%;0,1349%;0,8556%;5,1970%;;;0
10;CPTS11B;R$ 0,7000;0,7029%;2,8029%;4,8529%;0,0000%;0,9343%;0,8088%;0,0000%;-0,4118%;0,2882%;4,5154%;R$ 100.100.359,8800;R$ 100,1004;9949;0,6993%;-1,1989%;-0,5080%;4,8530%;;;0
11;CBOP11;R$ 4,9000;0,6842%;2,0412%;4,2319%;8,9019%;0,6804%;0,7053%;0,7418%;0,5423%;1,2302%;9,3026%;R$ 103.949.020,1900;R$ 734,6221;9749;0,6670%;-0,0159%;0,6510%;3,4729%;7,0000%;;1
12;ATSA11B;R$ 4,0000;0,3846%;0,5795%;0,5795%;0,8756%;0,1932%;0,0966%;0,0730%;1,3377%;1,7275%;2,2777%;R$ 230.342.746,9600;R$ 1.342,9498;7744;0,2979%;-0,0663%;0,2314%;0,9666%;24,2400%;;1
13;HGBS11;R$ 12,4000;0,5830%;1,7167%;3,7042%;8,1074%;0,5722%;0,6174%;0,6756%;-0,2844%;0,2969%;7,0827%;R$ 1.164.688.247,3500;R$ 2.166,8941;9816;0,5722%;-0,1760%;0,3952%;4,6261%;6,7900%;;8
14;GRLV11;R$ 7,1000;0,7100%;2,1303%;4,3837%;8,9413%;0,7101%;0,7306%;0,7451%;0,4964%;1,2099%;13,9903%;R$ 118.831.188,1400;R$ 1.106,9201;9034;0,6414%;0,0265%;0,6681%;3,4545%;7,0000%;;1
15;HGJH11;R$ 7,5000;0,5846%;1,7742%;3,6845%;7,3900%;0,5914%;0,6141%;0,6158%;1,1072%;1,6983%;14,5578%;R$ 170.856.327,0800;R$ 1.035,4929;12389;0,7243%;-0,0096%;0,7146%;3,6739%;12,5000%;;2
16;HGLG11;R$ 8,7000;0,6951%;2,1120%;4,3563%;9,0067%;0,7040%;0,7260%;0,7506%;-0,0196%;0,6753%;14,9398%;R$ 377.300.848,2600;R$ 1.109,3821;11283;0,7842%;0,3406%;1,1275%;4,3779%;;17,9000%;8
17;HGRE11;R$ 9,4000;0,6805%;2,0631%;4,4318%;9,1832%;0,6877%;0,7386%;0,7653%;2,6628%;3,3614%;11,1213%;R$ 1.095.755.771,0800;R$ 1.484,1405;9307;0,6334%;0,0191%;0,6526%;3,5209%;29,9000%;24,3000%;22
18;HGCR11;R$ 9,0000;0,8729%;2,5809%;5,5779%;11,4157%;0,8603%;0,9296%;0,9513%;-2,4070%;-1,5550%;6,8986%;R$ 107.513.932,8000;R$ 1.026,7879;10041;0,8765%;-0,1792%;0,6957%;5,0559%;;;0
