;Ativo;Preço;Volume (21d);Dividendo;Dividend Yield;Dividend Yield 3M (acumulado);Dividend Yield 6M (acumulado);Dividend Yield 12M (acumulado);Dividend Yield 3M (média);Dividend Yield 6M (média);Dividend Yield 12M (média);Dividend Yield no Ano;Variação Preço;Rentabilidade no Período;Rentabilidade Acumulada;Patrimônio Líquido;Valor Patrimonial;P/VPA;Dividend Yield Patrimonial;Variação Patrimonial;Rentabilidade Patrimonial no Período;Rentabilidade Patrimonial Acumulada;Vacância Física;Vacância Financeira;Qtd Ativos
0;AEFI11;16398.0;1359.0;R$ 1,2000;0,7362%;2,2710%;5,0038%;10,1397%;0,7570%;0,8340%;0,8450%;8,9669%;2,6448%;3,4005%;26,3185%;R$ 99.484.844,2200;R$ 132,2058;12403;0,9077%;0,0558%;0,9640%;10,0025%;0,0000%;;2
1;BCRI11;10400.0;2242.0;R$ 0,6500;0,6243%;1,7705%;3,9729%;9,6750%;0,5902%;0,6621%;0,8063%;8,7136%;-3,7800%;-3,1793%;0,4851%;R$ 117.743.342,0100;R$ 97,3085;10688;0,6680%;-0,2768%;0,3893%;10,7910%;;;0
2;BNFS11;12750.0;206.0;R$ 0,7560;0,5865%;1,9867%;3,9439%;7,8168%;0,6622%;0,6573%;0,6514%;7,2041%;8,7764%;9,4143%;16,0938%;R$ 62.537.351,8900;R$ 89,3391;14271;0,8947%;0,0167%;0,9116%;9,1496%;;;0
3;BBFI11B;2.864;203.0;R$ 23,1294;0,7897%;2,4823%;5,1432%;10,4805%;0,8274%;0,8572%;0,8734%;9,5972%;4,5679%;5,3937%;28,0185%;R$ 430.643.683,4800;R$ 3.312,6437;8646;0,6989%;0,0393%;0,7385%;2,0539%;;;0
4;BBPO11;14561.0;13685.0;R$ 0,9809;0,6603%;1,9322%;4,0529%;8,7426%;0,6441%;0,6755%;0,7285%;7,6302%;-3,5390%;-2,9020%;24,5567%;R$ 1.537.236.116,5200;R$ 96,5619;15079;1,0158%;0,0174%;1,0334%;14,5216%;;;0
5;BBRC11;14496.0;1097.0;R$ 0,8000;0,5556%;1,7016%;3,5416%;7,7232%;0,5672%;0,5903%;0,6436%;6,8470%;2,6884%;3,2589%;28,3433%;R$ 154.109.572,4800;R$ 96,9243;14956;0,8254%;0,1335%;0,9600%;9,5366%;;;0
6;RNDP11;95997.0;38.0;R$ 5,6745;0,5973%;1,8813%;4,2575%;9,8929%;0,6271%;0,7096%;0,8244%;8,8258%;-2,0598%;-1,4748%;-0,0878%;R$ 111.659.497,5400;R$ 1.038,8766;9240;0,6218%;0,1202%;0,7427%;8,2130%;;;0
7;BCIA11;11900.0;118.0;R$ 0,7000;0,5882%;1,7502%;3,6185%;7,7469%;0,5834%;0,6031%;0,6456%;7,0161%;-2,4590%;-1,8852%;6,3501%;R$ 204.056.561,2800;R$ 120,7712;9853;0,5796%;-0,0764%;0,5028%;13,5673%;;;0
8;CARE11;200.0;250748.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;;0,0000%;0,0000%;0,0000%;R$ 69.049.212,6400;R$ 1,3202;15150;;;;;;;0
9;CXRI11;1.067;47.0;R$ 7,5000;0,7029%;2,1161%;4,2838%;8,8748%;0,7054%;0,7140%;0,7396%;8,0437%;-0,2804%;0,4206%;14,5616%;R$ 181.072.338,4900;R$ 1.149,1111;9285;0,6527%;0,0246%;0,6774%;12,4659%;;;0
10;CPTS11B;9900.0;1054.0;R$ 0,8500;0,8595%;2,3442%;4,7530%;0,0000%;0,7814%;0,7922%;0,0000%;9,6059%;-0,1010%;0,7576%;8,8250%;R$ 100.729.401,8000;R$ 100,7294;9828;0,7446%;0,1433%;0,8890%;9,6015%;;;0
11;CBOP11;76250.0;131.0;R$ 4,7000;0,6283%;1,8443%;3,8944%;8,1264%;0,6148%;0,6491%;0,6772%;7,3334%;-4,0949%;-3,4923%;18,6876%;R$ 103.813.480,0000;R$ 733,6642;10393;0,6406%;-0,0488%;0,5915%;6,8061%;10,4000%;;1
12;ATSA11B;1.179;20.0;R$ 1,5000;0,1272%;0,3816%;1,3517%;1,9312%;0,1272%;0,2253%;0,1609%;1,9312%;-0,0847%;0,0424%;17,5234%;R$ 229.548.994,4700;R$ 1.338,3220;8810;0,1121%;-0,0694%;0,0426%;1,6739%;23,2000%;;1
13;HGBS11;2.285;493.0;R$ 10,3000;0,4470%;1,3712%;3,0939%;6,7981%;0,4571%;0,5156%;0,5665%;6,1062%;-6,1125%;-5,6927%;19,6235%;R$ 1.157.592.104,3800;R$ 2.153,6918;10610;0,4643%;-0,0866%;0,3773%;6,8882%;6,7000%;;8
14;GRLV11;1.145;163.0;R$ 7,1000;0,6147%;1,8549%;3,9822%;8,3659%;0,6183%;0,6637%;0,6972%;7,6386%;1,3114%;1,9342%;36,9872%;R$ 118.966.434,2200;R$ 1.108,1799;10332;0,6407%;0,0129%;0,6537%;6,9345%;7,0000%;;1
15;HGJH11;1.399;222.0;R$ 7,5000;0,5226%;1,6057%;3,3502%;7,0347%;0,5352%;0,5584%;0,5862%;6,3969%;4,3636%;4,9091%;32,4944%;R$ 170.792.638,2700;R$ 1.035,1069;13516;0,7246%;-0,0116%;0,7129%;7,4439%;7,7000%;;2
16;HGLG11;1.285;442.0;R$ 8,7000;0,6576%;2,0027%;4,1007%;8,4570%;0,6676%;0,6835%;0,7048%;7,6633%;3,1177%;3,7958%;26,5540%;R$ 381.839.204,8100;R$ 1.122,7263;11445;0,7749%;0,2367%;1,0134%;9,8285%;22,7000%;19,4000%;8
17;HGRE11;1.508;715.0;R$ 9,4000;0,6209%;1,8081%;3,7416%;8,1734%;0,6027%;0,6236%;0,6811%;7,3163%;-4,5999%;-4,0076%;26,4197%;R$ 1.097.836.037,3400;R$ 1.486,9581;10142;0,6322%;0,1494%;0,7825%;7,0455%;20,7000%;22,6000%;20
18;HGCR11;10000.0;376.0;R$ 0,7300;0,7143%;2,0959%;4,3727%;9,9506%;0,6986%;0,7288%;0,8292%;8,7260%;-1,4370%;-0,7330%;14,2154%;R$ 106.722.976,2600;R$ 101,9234;9811;0,7162%;-90,0228%;-89,9513%;-89,1704%;;;0
19;DOMC11;55000.0;31.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;-21,4286%;-21,4286%;8,4583%;R$ 150.425.018,5600;R$ 859,5715;6399;0,0000%;-6,3179%;-6,3179%;-7,7660%;;;0
20;FIXX11;9421.0;382.0;R$ 0,6100;0,6556%;2,1528%;4,1225%;8,4885%;0,7176%;0,6871%;0,7074%;7,5179%;8,1851%;8,8943%;12,1488%;R$ 33.207.362,0900;R$ 90,7374;10383;0,8155%;0,5493%;1,3694%;15,2730%;;;0
