;Códigodo fundo;Setor;Preço Atual;Volume (21D);Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
0;ABCP11;Shoppings;1809.0;22576.0;R$ 0,0900;0,5202%;1,5712%;3,1564%;6,4647%;0,5237%;0,5261%;0,5387%;6,4647%;3,5928%;4,1317%;8,7336%;R$ 907.480.454,93;R$ 14,87;12164.0;0,6052%;0,2378%;0,8444%;25,2285%;1,20%;;1
1;AEFI11;Outros;16159.0;1290.0;R$ 1,2200;0,7673%;2,3351%;5,0172%;9,3657%;0,7784%;0,8362%;0,7805%;9,3657%;0,0692%;0,8371%;5,7924%;R$ 113.957.882,48;R$ 151,44;10670.0;0,8056%;3,6399%;4,4749%;12,3895%;0,00%;;2
2;AGCX11;Outros;1.18899;223.0;R$ 7,0000;0,5833%;1,8231%;3,9703%;7,5780%;0,6077%;0,6617%;0,6315%;7,5780%;3,4447%;4,0482%;1,6614%;R$ 428.283.987,37;R$ 1.057,49;11243.0;0,6619%;-0,7831%;-0,1263%;6,7504%;;;41
3;ALMI11;Lajes Corporativas;1.43;0.0;R$ 0,0000;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;0,0000%;2,2692%;2,2692%;-28,2913%;R$ 221.858.126,72;R$ 1.995,54;7166.0;;;;;82,00%;;1
4;ALZR11;Outros;9850.0;2441.0;R$ 0,6511;0,6927%;2,1070%;4,1782%;7,1239%;0,7023%;0,6964%;0,5937%;7,1239%;3,0815%;3,7955%;-2,5146%;R$ 97.115.106,26;R$ 97,40;10113.0;0,6685%;0,0100%;0,6785%;9,4471%;0,00%;;2
5;ATSA11;Shoppings;10018.0;0.0;R$ 0,3100;0,3085%;0,4680%;0,7387%;1,4525%;0,1560%;0,1231%;0,1210%;1,4525%;0,5101%;0,8201%;-91,5026%;R$ 214.907.929,38;R$ 125,30;7995.0;0,1197%;-0,0896%;0,0300%;-89,8652%;22,30%;;1
6;BBFI11B;Lajes Corporativas;2.1145;205.0;R$ 24,8732;1,2016%;3,6355%;7,3836%;12,6545%;1,2118%;1,2306%;1,0545%;12,6545%;-2,5892%;-1,4187%;-21,4318%;R$ 351.154.760,28;R$ 2.701,19;7828.0;0,9208%;0,0528%;0,9741%;11,2960%;;;2
7;BBPO11;Lajes Corporativas;13984.0;17735.0;R$ 1,0249;0,7327%;2,2110%;4,5768%;8,7369%;0,7370%;0,7628%;0,7281%;8,7369%;0,4092%;1,1448%;6,3283%;R$ 1.641.884.449,28;R$ 103,14;13559.0;0,9937%;-0,1477%;0,8445%;20,7889%;;;64
8;BBRC11;Outros;13911.0;1066.0;R$ 1,0500;0,7505%;2,0249%;4,0216%;7,5027%;0,6750%;0,6703%;0,6252%;7,5027%;-0,2922%;0,4561%;1,4633%;R$ 161.759.883,35;R$ 101,74;13674.0;1,0321%;4,1355%;5,2102%;16,2651%;;;19
9;BBVJ11;Lajes Corporativas;5580.0;1630.0;R$ 0,3300;0,6112%;0,7427%;0,9356%;0,9614%;0,2476%;0,1559%;0,0801%;0,9614%;19,2359%;19,9647%;-9,1492%;R$ 159.807.532,98;R$ 58,97;9463.0;0,5596%;-2,1231%;-1,5753%;-0,5032%;66,79%;;1
10;BCFF11;Títulos e Val. Mob.;8520.0;12096.0;R$ 0,5800;0,6613%;1,9977%;4,0251%;7,6232%;0,6659%;0,6708%;0,6353%;7,6232%;5,1685%;5,8640%;15,3951%;R$ 504.933.229,10;R$ 84,87;10039.0;0,6834%;1,1675%;1,8588%;1,2201%;;;0
11;BCIA11;Títulos e Val. Mob.;10394.0;974.0;R$ 0,7000;0,6688%;2,0075%;3,8670%;7,4114%;0,6692%;0,6445%;0,6176%;7,4114%;0,4704%;1,1424%;-2,1826%;R$ 201.544.075,16;R$ 119,28;8714.0;0,5868%;3,2692%;3,8752%;6,7936%;;;0
12;BCRI11;Títulos e Val. Mob.;10994.0;3587.0;R$ 0,9500;0,8636%;3,0609%;5,5004%;9,3443%;1,0203%;0,9167%;0,7787%;9,3443%;1,8613%;2,7410%;12,8303%;R$ 120.986.079,93;R$ 99,99;10995.0;1,2301%;-0,2099%;1,0177%;11,7549%;;;0
13;BMLC11B;Lajes Corporativas;7515.0;464.0;R$ 0,4438;0,5920%;1,7471%;2,9215%;5,6794%;0,5824%;0,4869%;0,4733%;5,6794%;2,4177%;3,0240%;-5,8827%;R$ 84.283.006,44;R$ 84,42;8902.0;0,4635%;-0,0056%;0,4579%;4,9225%;21,00%;;2
14;BNFS11;Outros;12690.0;109.0;R$ 0,7524;0,6060%;1,9702%;4,1966%;8,2310%;0,6567%;0,6994%;0,6859%;8,2310%;-0,5925%;0,0099%;12,3116%;R$ 62.642.615,22;R$ 89,49;14180.0;0,9479%;-0,0007%;0,9472%;10,7759%;;;18
15;BPFF11;Títulos e Val. Mob.;9465.0;2099.0;R$ 0,6000;0,6601%;1,9793%;4,0478%;7,9926%;0,6598%;0,6746%;0,6660%;7,9926%;0,9551%;1,6215%;-2,6819%;R$ 184.590.497,51;R$ 92,30;10255.0;0,6501%;1,5902%;2,2506%;1,5688%;;;0
16;BRCR11;Híbrido;10344.0;21394.0;R$ 0,3500;0,3324%;1,0290%;2,1968%;4,3158%;0,3430%;0,3661%;0,3597%;3,8461%;4,2884%;4,6350%;3,9633%;R$ 2.420.819.549,44;R$ 125,92;8215.0;0,2779%;0,3028%;0,5816%;3,9272%;33,20%;28,90%;10
