;Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
0;ABCP11;Shoppings;R$ 79,11;795.0;R$ 0,49;0,56%;0,56%;1,81%;4,73%;0,19%;0,30%;0,39%;1,81%;6,15%;6,74%;-16,18%;R$ 1.039.921.823,30;R$ 85,21;93.0;0,13%;0,15%;0,28%;2,75%;2,80%;;1
1;AFCR11;Híbrido;R$ 107,90;11.0;R$ 0,80;0,76%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,32%;-2,78%;-2,04%;6,39%;R$ 67.935.794,45;R$ 101,59;106.0;0,79%;-0,36%;0,43%;1,84%;;;0
2;ALMI11;Lajes Corporativas;R$ 1.182,15;18.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27%;2,27%;-28,29%;R$ 220.697.978,44;R$ 1.985,10;60.0;;;;;71,19%;;1
3;ALZR11;Logística;R$ 128,79;13003.0;R$ 0,57;0,41%;1,37%;2,90%;5,80%;0,46%;0,48%;0,48%;4,03%;7,95%;8,40%;11,15%;R$ 459.335.918,81;R$ 102,54;126.0;0,56%;1,79%;2,35%;13,77%;0,00%;;7
4;ARCT11;Outros;R$ 1.194,00;60.0;R$ 20,00;1,88%;4,91%;0,00%;0,00%;1,64%;0,00%;0,00%;6,91%;6,20%;8,20%;19,10%;R$ 22.872.997,89;R$ 980,45;122.0;2,04%;-0,87%;1,15%;3,75%;;;2
5;ARRI11;Títulos e Val. Mob.;R$ 86,96;428.0;R$ 0,59;0,75%;1,87%;3,61%;0,00%;0,62%;0,60%;0,00%;4,28%;3,38%;4,16%;-22,06%;R$ 36.466.724,12;R$ 92,94;94.0;0,63%;0,68%;1,32%;1,76%;;;0
6;ATSA11;Shoppings;R$ 110,99;3.0;R$ 0,25;0,18%;0,59%;1,30%;2,97%;0,20%;0,22%;0,25%;0,37%;0,74%;0,92%;1,10%;R$ 189.450.561,66;R$ 110,45;100.0;;;;;18,70%;;1
7;BARI11;Títulos e Val. Mob.;R$ 105,60;10326.0;R$ 0,85;0,79%;2,15%;4,29%;8,68%;0,72%;0,72%;0,72%;5,60%;8,59%;9,44%;4,34%;R$ 221.807.741,43;R$ 99,28;106.0;0,86%;0,16%;1,02%;5,00%;;;0
8;BBFI11B;Lajes Corporativas;R$ 2.475,30;196.0;R$ 25,06;1,07%;3,12%;6,04%;11,61%;1,04%;1,01%;0,97%;8,02%;2,07%;3,16%;-13,87%;R$ 408.198.363,66;R$ 3.139,99;79.0;0,80%;0,04%;0,83%;6,34%;72,20%;;2
9;BBPO11;Lajes Corporativas;R$ 138,61;14328.0;R$ 1,08;0,78%;2,18%;4,31%;8,28%;0,73%;0,72%;0,69%;5,61%;0,39%;1,17%;-10,27%;R$ 1.610.912.677,39;R$ 101,19;137.0;1,07%;-0,02%;1,05%;7,51%;0,00%;0,00%;64
10;BBRC11;Outros;R$ 150,58;943.0;R$ 0,94;0,62%;2,11%;4,16%;8,19%;0,70%;0,69%;0,68%;5,40%;4,18%;4,83%;7,22%;R$ 174.645.970,86;R$ 109,84;137.0;0,86%;-0,10%;0,75%;6,35%;5,40%;2,10%;20
11;BBVJ11;Lajes Corporativas;R$ 60,96;12.0;R$ 0,33;0,61%;0,74%;0,94%;0,96%;0,25%;0,16%;0,08%;0,96%;19,24%;19,96%;-9,15%;R$ 155.507.284,84;R$ 57,38;106.0;;;;;59,00%;;1
