,Ativo,Nome,Período,Dividendo,Dividend Yield,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA
2,BNFS11,FII BANRISUL,Novembro/2016,0.043009526911489286,0.6486486486486486,0.6543730242360379,0.6596194503171247,0.5347985347985348,0.03112995060516591,94.7022,0.8003761755485893
3,THRA11B,FII BM THERA,Novembro/2016,0.0,0.0,0.5637513171759748,0.49260042283298094,0.5614861329147043,0.06513673897992031,70.46,0.7350470219435736
4,TRNT11B,FII TORRE NO,Novembro/2016,0.042298401324539256,0.4414414414414414,0.6406743940990517,0.6215644820295982,0.19344147915576487,0.5692601006293427,167.548,0.5395611285266457
5,MFII11,FII MERITO I,Novembro/2016,0.06351274326194935,1.0,0.6164383561643836,0.6627906976744184,0.3144950287807431,0.007908933436222709,102.11,0.6472727272727272
6,ONEF11,FII THE ONE,Novembro/2016,0.347420134082458,0.6396396396396395,0.7681770284510011,0.7727272727272727,0.4351997209140067,0.05828666327402607,1056.2292,0.42721003134796237
9,PORD11,FII POLO CRI,Novembro/2016,0.0,0.0,0.5068493150684932,0.4355179704016913,0.3162393162393163,0.07138987267384038,110.6643,0.5721630094043887
10,TRXL11,FII TRX LOG,Novembro/2016,0.026946774149770647,0.8378378378378378,0.4383561643835616,0.4661733615221987,0.0,0.09851058883773336,85.22,0.13579937304075235
12,CEOC11B,FII CEO CCP,Novembro/2016,0.0,0.0,0.3055848261327713,0.233615221987315,0.7716727716727716,0.07928012734688958,65.7382,0.6407523510971787
13,SPTW11,FII SP DOWNT,Novembro/2016,0.029042151833455473,0.8288288288288288,0.041095890410958874,0.06553911205073996,0.29042386185243335,0.12849069453991088,96.5508,0.10808777429467084
14,MBRF11,FII MERC BR,Novembro/2016,0.3962760904378036,0.7567567567567567,0.3192834562697576,0.3361522198731501,0.5892203035060178,0.08945442765609639,1284.3708,0.20100313479623824
16,TBOF11,FII TBOFFICE,Novembro/2016,0.011475721303911189,0.29729729729729726,0.4678609062170706,0.4323467230443974,0.3432757718472005,0.6310050070496468,72.3829,0.4471473354231975
18,RNGO11,FII RIONEGRO,Novembro/2016,0.03528485736774964,0.7477477477477477,0.5026343519494205,0.5200845665961944,0.3185068899354614,0.1990107978025528,93.9173,0.3939811912225705
19,HGCR11,FII CSHG CRI,Novembro/2016,0.48855956355345653,0.8288288288288288,0.3835616438356165,0.40909090909090906,0.3174603174603175,0.06674825303941885,1008.02,0.5689028213166144
20,DRIT11B,FII MTGESTAO,Novembro/2016,0.028227885894199712,0.4504504504504504,0.4668071654373025,0.44714587737843553,0.1794871794871795,0.024303210637270783,126.8515,0.3872100313479624
22,CNES11B,FII CENESP,Novembro/2016,0.020052655864071872,0.38738738738738737,0.16543730242360374,0.13742071881606768,0.17983603697889414,0.2371775819673915,99.4791,0.43711598746081504
23,CARE11,FII DEA CARE,Novembro/2016,0.0,0.0,0.4236037934668072,0.35200845665961944,0.03349031920460492,0.015878916964177335,1.2886,0.8124137931034483
24,FEXC11B,FII EXCELLEN,Novembro/2016,0.04505604863881876,0.7117117117117117,0.011591148577449889,0.022198731501057077,0.5859061573347287,0.1072167539708848,102.7532,0.6372413793103449
25,FCFL11B,FII CAMPUSFL,Novembro/2016,0.580077626686209,0.5675675675675675,0.47418335089567976,0.4693446088794926,0.9471480900052328,0.19500027985150384,1478.4577,0.7933542319749216
29,CBOP11,FII C BRANCO,Novembro/2016,0.2659935401568819,0.7027027027027026,0.2118018967334036,0.2219873150105708,0.20006977149834296,0.06752348980483268,751.96,0.3968652037617555
30,HCRI11B,FII CRIANCA,Novembro/2016,0.13071139700892978,0.8828828828828827,0.690200210748156,0.7230443974630021,0.4688644688644689,0.01753284323568117,256.5268,0.5579937304075235
31,PRSV11,FII P VARGAS,Novembro/2016,0.10856879190076811,0.36036036036036034,0.43203371970495263,0.40169133192389,0.028083028083028084,0.11091729444401666,790.9217,0.15485893416927898
33,BMLC11B,FII BMBRC LC,Novembro/2016,0.034541161143229374,0.6666666666666666,0.3761854583772392,0.38266384778012685,0.5025292168149311,0.07069519329278647,110.0742,0.3325391849529781
34,HTMX11B,FII HOTEL MX,Novembro/2016,0.021094916266319246,0.2882882882882883,0.4130663856691254,0.3763213530655391,0.7657421943136229,0.11504023523255871,141.8941,0.4147962382445141
35,VRTA11,FII FATOR VE,Novembro/2016,0.0642835816844448,0.8378378378378378,0.6880927291886196,0.715644820295983,0.6994592708878423,0.12849407705085408,102.45,0.9053291536050156
37,CXCE11B,FII CX CEDAE,Novembro/2016,1.0,0.7207207207207207,0.5268703898840886,0.540169133192389,0.8137100994243851,0.11558148357390319,2325.964,0.5991222570532916
38,CXTL11,FII CX TRX,Novembro/2016,0.2555112232988627,0.7927927927927927,0.5331928345626976,0.554968287526427,0.45525902668759816,0.013356748195651883,871.37,0.1245141065830721
40,JSRE11,FII JS REAL,Novembro/2016,0.046684580517330286,0.7747747747747747,0.38250790305584825,0.40169133192389,0.5534624106052678,0.5987931908149432,107.2295,0.5256426332288401
42,FFCI11,FII RIOB RC,Novembro/2016,0.0006351274326194935,0.6126126126126126,0.0,0.0,0.8977847549276121,0.19479837550629717,1.781,0.5596238244514107
44,MXRF11,FII MAXI REN,Novembro/2016,0.04342751676030725,0.8198198198198198,0.3877766069546892,0.4122621564482029,0.373800802372231,0.19405058611425471,106.91,0.3853291536050157
45,BPFF11,FII ABSOLUTO,Novembro/2016,0.03637054528675732,0.7117117117117117,0.9188619599578504,0.9323467230443974,0.9624978196406768,0.12529141071211558,85.0361,0.6012539184952979
47,RBVO11,FII RIOBCRI2,Novembro/2016,0.04071329696278804,0.7747747747747747,0.7818756585879875,0.8023255813953487,0.5173556602128031,0.01756474892807029,99.53,0.4473981191222571
48,SDIL11,FII SDI LOG,Novembro/2016,0.03582770132725348,0.8018018018018017,0.8229715489989463,0.8467230443974629,0.5143903715332288,0.09726121710281913,96.7288,0.30996865203761753
49,FIIP11B,FII RB CAP I,Novembro/2016,0.06839291045788888,0.7207207207207207,0.58377239199157,0.5972515856236786,0.5682888540031397,0.114294402774881,170.3606,0.5104702194357367
50,CTXT11,FII C TEXTIL,Novembro/2016,0.0017588144287924434,0.7927927927927927,0.3772391991570074,0.3974630021141649,0.6439909297052153,0.08192509026499527,3.3666,0.7271473354231975
51,RBDS11,FII RBRESID2,Novembro/2016,0.06864804711885568,0.2162162162162162,0.10642781875658587,0.05919661733615222,0.2026862026862027,0.03142556793113415,526.5234,0.6046394984326019
52,FLRP11B,FII FLORIPA,Novembro/2016,0.3032380642184404,0.5945945945945945,1.0,1.0,0.939473225187511,0.022297485761933338,1178.2654,0.25053291536050154
54,REIT11B,FII REIT RIV,Novembro/2016,0.0,0.0,0.4236037934668072,0.35200845665961944,0.4959009244723531,0.0,1216.4389,0.5882131661442006
55,FPAB11,FII A BRANCA,Novembro/2016,0.0949976929131721,0.5135135135135134,0.4531085353003162,0.441860465116279,0.20861678004535147,0.24674776881264357,405.2484,0.29968652037617555
57,CXRI11,FII CX RBRAV,Novembro/2016,0.43427516760307244,0.7207207207207207,0.5142255005268704,0.5274841437632135,0.858189429618001,0.12123518291708969,1050.932,0.5480877742946708
58,FVBI11B,FII VBI 4440,Novembro/2016,0.03618597834052601,0.6846846846846847,0.5974710221285565,0.6057082452431289,0.4727019012733299,0.13365140887727048,83.389,0.6801253918495298
61,HGBS11,FII CSHGSHOP,Novembro/2016,0.7491246641153,0.6216216216216215,0.350895679662803,0.3530655391120507,1.0,1.0,2110.06,0.53717868338558
62,KNIP11,FII KINEA IP,Novembro/2016,0.04288467280080341,0.6216216216216215,0.7544783983140149,0.7568710359408033,0.054945054945054944,0.33420645763389484,100.08,0.793730407523511
63,RNDP11,FII BB R PAP,Novembro/2016,0.5628694731699373,0.9189189189189189,0.39831401475237094,0.43340380549682866,0.4690388976103262,0.07226957344187948,1038.638,0.5843260188087774
64,GRLV11,FII LOUVEIRA,Novembro/2016,0.3528485736774964,0.6396396396396395,0.38250790305584825,0.386892177589852,0.383743240886098,0.07849081877305616,1103.75,0.38884012539184953
65,HGRE11,FII HG REAL,Novembro/2016,0.5482723990988789,0.6936936936936936,0.1138040042149631,0.1226215644820296,0.6595150880865166,0.9872980800137672,1517.17,0.43648902821316615
66,ABCP11,FII ABC IMOB,Novembro/2016,0.004071329696278804,0.5765765765765766,0.4752370916754479,0.4704016913319239,0.61573347287633,0.5874580884306851,11.1351,0.6738557993730407
67,AGCX11,FII AG CAIXA,Novembro/2016,0.4739027766468528,0.6216216216216215,0.2075869336143309,0.20824524312896403,0.7852782138496424,0.3389622118846626,1001.4103,0.9408150470219436
68,BCFF11B,FII BC FFII,Novembro/2016,0.029313573813207393,0.6936936936936936,0.23603793466807163,0.24630021141649047,0.7428920286063143,0.30442496865259594,87.17,0.355987460815047
70,BBVJ11,FII C JARDIM,Novembro/2016,0.010856879190076812,0.31531531531531526,0.4236037934668072,0.38900634249471455,0.3500784929356358,0.16777691611312331,80.0362,0.24225705329153605
71,BCIA11,FII BCIA,Novembro/2016,0.05591292782889558,0.8468468468468467,0.4973656480505796,0.5264270613107822,0.7376591662305948,0.05134506563526824,107.9992,0.6184326018808778
72,DOMC11,FII DOMO,Novembro/2016,0.0,0.0,0.8314014752370917,0.7610993657505285,0.05285190999476714,0.13327782222704326,1022.1403,0.0
73,HGLG11,FII CSHG LOG,Novembro/2016,0.47227424476834123,0.6936936936936936,0.23603793466807163,0.2452431289640592,0.5009593581022153,0.3049964091382195,1082.43,0.6649529780564263
75,EURO11,FII EUROPAR,Novembro/2016,0.05971283554542247,0.5135135135135134,0.42887249736564803,0.41754756871035936,0.4753183324611896,0.08423422383872325,351.6078,0.036489028213166144
76,SHPH11,FII HIGIENOP,Novembro/2016,0.17913850663626738,0.3693693693693693,0.6122233930453109,0.5845665961945031,0.7376591662305948,0.29181206540386645,611.3987,1.0
80,VLOL11,FII OLIMPIA,Novembro/2016,0.021605189588252856,0.48648648648648646,0.4088514225500527,0.394291754756871,0.6828885400313972,0.11284061904058601,87.5992,0.405141065830721
81,FAED11B,FII ANH EDUC,Novembro/2016,0.08393453301848383,0.7027027027027026,0.6701791359325606,0.6818181818181818,0.8991801848944706,0.06520814106708192,161.7194,0.8837617554858934
82,FLMA11,FII S F LIMA,Novembro/2016,0.0006731265097847623,0.5135135135135134,0.23603793466807163,0.2241014799154334,0.5693354264782836,0.16430098274654603,3.0864,0.2354858934169279
83,HGJH11,FII CSHGJHSF,Novembro/2016,0.4071329696278804,0.5495495495495495,0.5943097997892519,0.587737843551797,0.6487005058433629,0.12605716263579594,1035.86,0.8373667711598746
85,RBRD11,FII RB II,Novembro/2016,0.02557880737182097,0.6666666666666666,0.1327713382507903,0.13847780126849893,0.6303854875283447,0.08480846310749575,67.7474,0.5285266457680251
87,SAAG11,FII SANT AGE,Novembro/2016,0.044513204679314924,0.6486486486486486,0.15806111696522654,0.160676532769556,0.9002267573696145,0.4414578598814562,92.08,0.9144827586206896
88,NSLU11B,FII LOURDES,Novembro/2016,0.08194772412669978,0.7207207207207207,0.48472075869336145,0.4978858350951374,0.39229024943310664,0.1611600601390238,183.0933,0.6373667711598746
89,AEFI11,FII AESAPAR,Novembro/2016,0.05971283554542247,0.7567567567567567,0.5626975763962067,0.580338266384778,0.8278388278388279,0.06106005976228002,131.9325,0.5929780564263323
90,BCRI11,FII BEES CRI,Novembro/2016,0.06351274326194935,0.9369369369369369,0.6628029504741834,0.7019027484143763,0.7994069422640852,0.050778666180268,95.9,0.8238244514106583
