,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
0,AEFI11,16398.0,1359.0,0.051882020285869926,0.45866301165036444,0.4860041088854648,0.8816067653276956,0.8903171425561057,0.9334783830770673,0.6689594108691193,0.6818347750178557,0.6581669174228013,0.02420850403869568,132.2058,0.7465159755268524,0.0,0.07142857142857142
1,BCRI11,10400.0,2242.0,0.028102760988179546,0.3889477291134509,0.3789162814586543,0.6998942917547569,0.8495416710567906,0.9071091724877418,0.32208916867326776,0.3337248366531757,0.23011293967934143,0.032584516265851925,97.3085,0.6007817811012917,0.152384721947358,0.0
2,BNFS11,12750.0,206.0,0.032685672780098055,0.36539779452993587,0.4251412429378531,0.6948202959830867,0.6863344220840796,0.7499661666267606,1.0,1.0,0.4887457995585809,0.0072589909364547895,89.3391,0.90525152957172,0.152384721947358,0.0
3,BBFI11B,2.864,203.0,1.0,0.49199426826988973,0.5312018489984591,0.9061310782241014,0.9202402275840269,0.9990943066240541,0.7727861701093823,0.7872867232759305,0.6863355581036209,0.17612628603124303,3312.6437,0.42726036709721277,0.152384721947358,0.0
4,BBPO11,14561.0,13685.0,0.04240922808200818,0.4113762382406081,0.4135208012326656,0.7140591966173362,0.7675692761563586,0.7943243215107382,0.33510058200429754,0.3483956299764569,0.6289742638042909,0.6837711019535069,96.5619,0.9739123045547247,0.152384721947358,0.0
5,BBRC11,14496.0,1097.0,0.03458801352391329,0.34614665752912593,0.36414997431946583,0.6239957716701904,0.6781161099989462,0.7127910971382172,0.67131334290743,0.6743433060868186,0.6917174254525209,0.04926737783396681,96.9243,0.9634602311352821,0.152384721947358,0.0
6,RNDP11,95997.0,38.0,0.24533710342680745,0.372126347268083,0.4026065742167437,0.7501057082452431,0.8686123696133179,0.918789493956839,0.41496150565267625,0.42390286485199585,0.2206201077699053,0.029793577150546046,1038.8766,0.47773623385452074,0.152384721947358,0.0
7,BCIA11,11900.0,118.0,0.030264511833424126,0.36645691857205154,0.3745505906522856,0.6375264270613108,0.6802233695079548,0.7303948614913751,0.3934089902927298,0.4021903023569558,0.32729475002816866,0.07218035751664179,120.7712,0.5298266485384092,0.152384721947358,0.0
8,CARE11,200.0,250748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5261685976827807,0.5019284183794938,0.22207493521212643,0.010246280794079972,1.3202,0.9799456152277363,0.152384721947358,0.0
9,CXRI11,1.067,47.0,0.32426262678668705,0.43791664070774405,0.45287621982537235,0.7547568710359408,0.779264566431356,0.8373707825398973,0.5110300072345617,0.5241806205856678,0.46335756941084455,0.06163643800393344,1149.1111,0.48156016315431677,0.152384721947358,0.0
10,CPTS11B,9900.0,1054.0,0.03674976436915787,0.5354806554108779,0.5016692347200822,0.8374207188160677,0.0,1.0,0.5207156817224735,0.5420098933947042,0.36830331992285104,0.024779439809391412,100.7294,0.5277022433718559,0.152384721947358,0.0
11,CBOP11,76250.0,131.0,0.20320457945299056,0.391439785683135,0.39470980996404725,0.6861522198731501,0.7135180697502898,0.7634266440416827,0.30508794851583504,0.3171653043409253,0.531724517322057,0.0261942482459789,733.6642,0.575713800135962,0.20581832574708095,0.03571428571428571
12,ATSA11B,1.179,20.0,0.06485252535733742,0.07924739891595539,0.08166409861325115,0.23816067653276957,0.16952902749973656,0.2010431089226413,0.5215957067734934,0.5041716265904823,0.5124339693922865,0.08387490843508312,1338.322,0.44119646498980286,0.4591331882050267,0.03571428571428571
13,HGBS11,2.285,493.0,0.4453206741203836,0.27848732166220175,0.2934643040575244,0.545031712473573,0.5968812559266673,0.6356718266898469,0.19615920355033417,0.20075126312726502,0.5472321825062799,0.5096109424362825,2153.6918,0.5941536369816451,0.132594498317831,0.2857142857142857
