,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física,Qtd Ativos
0,AEFI11,16721.0,1535.0,0.05336576105261776,0.7662473794549266,0.6900431276954809,0.8210514738231413,0.7702090760188842,0.5872191350567769,0.49854489429084997,0.5141945094701,0.5338720255204074,0.029252342865185233,147.5478,0.596121155926441,0.0,0.04878048780487805
1,BCRI11,10250.0,1759.0,0.0244957591716934,0.5754716981132076,0.5531595724732795,0.6490321161460624,0.6839772617785913,0.46569219618265284,0.0,0.0,0.03193289557845987,0.03243821605529657,97.9696,0.5288208932158862,0.09012195121951219,0.0
2,BNFS11,11800.0,46.0,0.034097221918455364,0.6865828092243187,0.6133508344271517,0.723933128024637,0.6274207534444551,0.5402271079971007,0.32864846357956007,0.3375782081293892,0.3613744747346347,0.008693429064207295,89.3474,0.7409210322979447,0.09012195121951219,0.43902439024390244
3,BBFI11B,2.94,113.0,1.0,0.7990566037735849,0.7214513407087942,0.8782446106467223,0.8075922535889777,0.6196746396069904,0.4314816399897287,0.44968716748244314,0.47611105263584025,0.13037482805633677,2688.6077,0.5653685674547984,0.09012195121951219,0.04878048780487805
5,BBRC11,14760.0,927.0,0.034993941673847714,0.5587002096436059,0.5547534220888806,0.6373735151781786,0.5852201560844013,0.43142465974067806,0.4863819224514252,0.4849882953819962,0.4903529297460104,0.04724012915249359,96.511,0.9021789522484933,0.09012195121951219,0.4634146341463415
6,RNDP11,94700.0,59.0,0.2037784708522337,0.5184486373165619,0.5282205137821114,0.6546414430268367,0.6914924366509297,0.4572763147298059,0.7007789095266628,0.6959523302830389,0.700742456015351,0.02977423461899117,1044.4688,0.4210322979446762,0.09012195121951219,0.0
7,BCIA11,11900.0,233.0,0.02712030479723198,0.5439203354297695,0.5396587286705419,0.6373735151781786,0.5822333558146257,0.45361198357091087,0.7187280664212959,0.7160417110023409,0.7171461189063145,0.06814151741240804,119.9959,0.48670993664039564,0.09012195121951219,0.0
8,CARE11,167.0,69879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999743216639562,0.35322409023196427,0.3207620497291695,0.032916301439091425,1.3986,0.6430227167362077,0.09012195121951219,0.0
9,CXRI11,1.095,39.0,0.3061969896461675,0.649895178197065,0.6315394712169511,0.7583589969203696,0.6884092879853551,0.5080132076991222,0.10701874518531201,0.11284954245584167,0.14261308892469374,0.05518361851739111,1092.7206,0.49474578890434245,0.09012195121951219,0.0
10,CPTS11B,9847.0,3114.0,0.03061969896461675,0.7427672955974843,0.6770110631914494,0.8267707875054994,0.780614702765199,0.5793669968591447,0.41646837284943944,0.43005745903383696,0.45350541256102794,0.023989381378568386,98.6174,0.4919641477360532,0.09012195121951219,0.0
11,CBOP11,76990.0,369.0,0.20558940733385533,0.6381551362683439,0.5769735608475529,0.6765288165420149,0.6248193467578764,0.4893694129016671,0.3668407087220748,0.37190040434134924,0.38772882947801374,0.02507943185691254,715.1112,0.5523103075258847,0.08536585365853659,0.024390243902439025
12,ATSA11B,1.1499,23.0,0.06561364063846446,0.13668763102725368,0.09263078942433903,0.12428508578970524,0.17882262260333365,0.08609164854634774,0.043327912351279696,0.009176420515003203,0.0,0.07307435610763004,1249.8858,0.4313089167053006,0.2804878048780488,0.024390243902439025
13,HGBS11,2.359,633.0,0.5249091251077157,0.5309224318658281,0.46409150571910746,0.5235371755389353,0.5054436843626553,0.4004993154546187,0.08676709749208256,0.08327729304107258,0.10225975434988542,0.506548506230723,2300.8613,0.5126719208777624,0.06829268292682926,0.1951219512195122
14,GRLV11,1.26,456.0,0.3280682031923223,0.6214884696016771,0.5631914494655916,0.6703695556533217,0.6355140186915887,0.4740275428847548,0.7525036377642729,0.7563651840817196,0.7537588353885141,0.035851144971552604,1179.2167,0.5460516148972339,0.08878048780487806,0.024390243902439025
15,HGJH11,1.47,99.0,0.3280682031923223,0.5179245283018868,0.4734670916932308,0.5720413550373955,0.5330956739570286,0.3979222034307804,0.4012154412394077,0.39651840817195155,0.4021569278352185,0.06406378948356065,1170.4831,0.6908514912687375,0.11463414634146342,0.04878048780487805
16,HGLG11,1.4001299999999999,684.0,0.38055911570309386,0.6607966457023061,0.6064129008063004,0.722833260008799,0.6545910010598324,0.5204558266892164,0.8298382264829239,0.8370887422855928,0.8376393623136774,0.14682818561567004,1141.7904,0.6679802194405811,0.2939024390243903,0.1951219512195122
17,HGRE11,1.494,1019.0,0.34993941673847717,0.5590146750524109,0.5374085880367523,0.6466124065112187,0.6041044416610463,0.42953209309817186,0.4002567833604383,0.3989104064694616,0.407630213182845,0.45078871150681565,1496.918,0.4916550764951321,0.2207317073170732,0.4634146341463415
18,HGCR11,10700.0,2873.0,0.03280682031923223,0.7212788259958072,0.6642602662666417,0.7738671359436867,0.7289719626168224,0.5731658210517838,0.9873833775571343,1.0,1.0,0.027484783750960914,102.0553,0.5305980528511822,0.09012195121951219,0.0
19,DOMC11,58000.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999743216639562,0.35322409023196427,0.3207620497291695,0.06401737127174445,1018.5765,0.16040797403801577,0.09012195121951219,0.024390243902439025
