,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
0,ABCP11,Shoppings,9435.0,4727.0,0.005043157792648628,0.30754566412484485,0.4658003826530613,0.44625090997330746,0.4779091474797759,0.0802716995105243,0.23773520711457222,0.26172850597430597,0.54636794715216,0.36611719246506813,0.00447672694930329,1.0,0.020066889632107024,0.024390243902439025
1,AEFI11,Outros,15990.0,1277.0,0.047328096207933275,0.3338801205887569,0.6080197704081634,0.6685270565396749,0.6957062850031114,0.08714518797949525,0.23773520711457222,0.26706495373281824,0.5478364921059528,0.03376465815834178,0.05506967091609843,0.10028414407976452,0.0,0.04878048780487805
2,AGCX11,Outros,1.19001,231.0,0.2909514111143439,0.2794378435892889,0.4828603316326531,0.5243872846396506,0.565739176815717,0.07293534986519168,0.23773520711457222,0.25603270146437873,0.5448005102822869,0.16715124388093763,0.394633857100504,0.11022067956374526,0.0955685618729097,1.0
4,ALZR11,Outros,9829.0,3911.0,0.025429153331393655,0.2935804220606491,0.548469387755102,0.5592493731294993,0.5767623788781225,0.9009708513174187,0.7384298418878945,0.7380109603809182,0.6115401921469928,0.026725474803980298,0.035061517936554994,0.0922872747690266,0.0,0.04878048780487805
5,ATSA11,Shoppings,11399.0,0.0,0.003879352148191252,0.04424543358751552,0.1483577806122449,0.10118903178840087,0.10880967197084185,0.01154838635022391,0.23773520711457222,0.20837301230796873,0.5316849699121344,0.06350918019159987,0.038923065520308324,0.10045429023531213,0.37290969899665555,0.024390243902439025
6,BBFI11B,Lajes Corporativas,2.28397,205.0,1.0,0.47836495832594433,0.9103156887755102,0.9873008169538138,0.9598186505467153,0.12485680232356311,0.23773520711457222,0.2963435450543527,0.5558937109685969,0.13312213621373112,1.0,0.06443434910588196,0.6453177257525085,0.04878048780487805
8,BBRC11,Outros,13600.0,1313.0,0.03569003976335952,0.2927824082284093,0.5453603316326531,0.5435573889832566,0.5648502089074584,0.07641838021731333,0.23773520711457222,0.25873686101877635,0.5455446719507914,0.053801568373012185,0.0366698784464868,0.1480271553264254,0.0955685618729097,0.4878048780487805
10,BCFF11,Títulos e Val. Mob.,8450.0,16001.0,0.020560566385413637,0.2780634864337649,0.5272640306122449,0.5378953328480143,0.5664503511423238,0.07257663245351138,0.23773520711457222,0.25575419998203214,0.5447238690473246,0.19746494614078472,0.030410613697005626,0.09002433090024331,0.0955685618729097,0.0
11,BCIA11,Títulos e Val. Mob.,10705.0,1918.0,0.027155465037338764,0.2870189749955666,0.5283003826530612,0.5235784194774731,0.55196017423771,0.07491408139413787,0.23773520711457222,0.25756895157667775,0.5452232732235304,0.07046360663194366,0.043170026682478504,0.07326493457880319,0.0955685618729097,0.0
12,BCRI11,Títulos e Val. Mob.,11100.0,3930.0,0.03879352148191252,0.39834190459301294,0.7708864795918368,0.7599288198657285,0.7137523335407592,0.1039701917402423,0.23773520711457222,0.2801275716467523,0.5514312132554724,0.037148353120025145,0.0363289356655796,0.10788967723274293,0.0955685618729097,0.0
13,BMLC11B,Lajes Corporativas,7799.0,348.0,0.016704490350111532,0.2447685759886505,0.4460299744897959,0.41349187090512013,0.4275935638723442,0.06388641386732086,0.23773520711457222,0.24900727697421615,0.5428671733229167,0.025037929395108748,0.033516157723095165,0.06290303370595342,0.4013377926421405,0.04878048780487805
14,BNFS11,Outros,12050.0,91.0,0.03042575889826399,0.26143819826210324,0.49824617346938777,0.5456604384049178,0.6025424482176193,0.06823730892512063,0.23773520711457222,0.2523852304375168,0.5437967573340717,0.013410180930453852,0.03354580492143492,0.14030251986456366,0.0955685618729097,0.43902439024390244
15,BPFF11,Títulos e Val. Mob.,9518.0,2192.0,0.02327611288914751,0.27513743571555244,0.5173788265306123,0.5318288441316833,0.58903013601209,0.07181291151251462,0.23773520711457222,0.25516126134219747,0.5445606973857922,0.06450052925496479,0.03367180551437889,0.09349531247341467,0.0955685618729097,0.0
16,BRCR11,Híbrido,10375.0,21436.0,0.015905343807584134,0.17520837027841818,0.2854751275510204,0.2904634797379277,0.3141612587785581,0.49078327682569806,0.09861923618527374,0.10214715658970441,0.5993764864691136,1.0,0.045634450044470795,0.060742177530498695,0.5551839464882944,0.24390243902439024
17,BTCR11,Títulos e Val. Mob.,9843.0,0.0,0.027039084472893025,0.3139297747827629,0.0,0.0,0.0,0.08193799974542636,0.23773520711457222,0.2630221902793998,0.5467239580500491,0.01465515648801743,0.036184405573673285,0.08733602164259098,0.0955685618729097,0.0
18,BZLI11,Títulos e Val. Mob.,1410.0,45473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3018778765912807,0.26038091815649983,0.5573128099643494,0.14303357743995718,0.0034872517047139047,0.11723070117230701,0.0955685618729097,0.0
20,CBOP11,Lajes Corporativas,7199.0,1296.0,0.018232955096498884,0.2854672814328782,0.5136320153061225,0.5356305103939174,0.579429282602898,0.0745090778648214,0.23773520711457222,0.2572545144191896,0.54513674279696,0.03266256295246332,0.028112955825674472,0.07632756537866027,0.11705685618729098,0.024390243902439025
21,CEOC11,Lajes Corporativas,8390.0,2548.0,0.021192900785568812,0.2887036708636283,0.5427295918367346,0.5567418911267492,0.5811183216285891,0.07535379951168146,0.23773520711457222,0.25791034049052197,0.5453172205438066,0.05335153975754016,0.03176326712125704,0.08187433004951253,0.0,0.024390243902439025
