,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
0,ABCP11,Shoppings,95.0,0.04204832474045374,0.01804123711340206,0.2974683544303797,0.42537313432835816,0.421875,0.3740458015267175,0.4496402877697842,0.6704545454545455,0.6652684563758389,0.7309343017497524,0.26983945963072004,0.026261669987622374,0.6526315789473685,0.013850415512465374,0.022727272727272728
2,ALZR11,Logística,101.99,0.06321186915545744,0.021723122238586155,0.2911392405063291,0.3283582089552239,0.3515625,0.3969465648854962,0.1654676258992806,0.816919191919192,0.8112416107382551,0.8210630571145593,0.06301223003140995,0.02934488151704242,0.6105263157894737,0.0,0.1590909090909091
3,ARRI11,Títulos e Val. Mob.,85.0,0.003790065298376129,0.010309278350515465,0.18987341772151897,0.0,0.0,0.0,0.24460431654676262,0.4347643097643098,0.42239932885906034,0.5262462859029383,0.0,0.029408848561221255,0.42105263157894735,0.039473684210526314,0.0
4,ATSA11,Shoppings,139.0,1.407899442190241e-05,0.009204712812960236,0.11392405063291139,0.14925373134328357,0.171875,0.19083969465648853,0.13309352517985612,0.8480639730639731,0.8305369127516778,0.8421921426213272,0.041523900713434904,0.03471491487585596,0.7894736842105263,0.24099722991689748,0.022727272727272728
5,BARI11,Títulos e Val. Mob.,99.06,0.08991690577492194,0.026141384388807067,0.4177215189873418,0.41044776119402987,0.5703125,0.0,0.4712230215827339,0.715909090909091,0.7185402684563758,0.768900627269726,0.05023228619325997,0.031055999948826362,0.5157894736842106,0.039473684210526314,0.0
6,BBFI11B,Lajes Corporativas,2265.0,0.0010193191961457345,1.0,0.7025316455696203,0.708955223880597,0.7265625,0.7251908396946565,0.7122302158273381,0.10353535353535358,0.11954697986577173,0.30075932651039944,0.09971503190110152,1.0,0.23157894736842105,1.0,0.045454545454545456
8,BBRC11,Outros,126.0,0.015982474467743615,0.03387334315169367,0.3924050632911392,0.4925373134328358,0.5234375,0.5190839694656488,0.4460431654676259,0.782828282828283,0.783976510067114,0.8197424892703864,0.037287789217516285,0.03436309613287234,0.6736842105263158,0.039473684210526314,0.45454545454545453
10,BCFF11,Títulos e Val. Mob.,87.65,0.25873249629018497,0.0195139911634757,0.34177215189873417,0.40298507462686567,0.421875,0.4427480916030534,0.3956834532374101,0.7037037037037037,0.7013422818791946,0.7527236711786068,0.31254748063559307,0.02922334413310262,0.45263157894736844,0.039473684210526314,0.0
11,BCIA11,Títulos e Val. Mob.,172.0,0.0033451690746440126,0.036818851251840944,0.310126582278481,0.6641791044776119,0.7109375,0.6183206106870229,0.3741007194244605,0.5122053872053872,0.5071308724832215,0.5985473753714097,0.05321119739173783,0.04345281311068537,0.7789473684210526,0.039473684210526314,0.0
12,BCRI11,Títulos e Val. Mob.,105.0,0.04520765108872864,0.03829160530191458,0.5759493670886076,0.5970149253731343,0.515625,0.5267175572519084,0.6618705035971224,0.5092592592592594,0.5205536912751678,0.6209970287223507,0.06158313914073974,0.033038978318370375,0.5157894736842106,0.039473684210526314,0.0
13,BICR11,Títulos e Val. Mob.,100.0,0.00525428071825398,0.012518409425625921,0.18987341772151897,0.0,0.0,0.0,0.36690647482014394,0.6927609427609428,0.6803691275167785,0.7411687025420931,0.004421118057670105,0.03336201189147351,0.45263157894736844,0.039473684210526314,0.0
