,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
0,ABCP11,Shoppings,79.11,0.009402681066742457,0.019553072625698324,0.29787234042553196,0.11585365853658537,0.2830188679245283,0.28057553956834536,0.1975982532751092,0.8039850560398506,0.8086100861008609,0.39591489361702126,0.28030680363283,0.026234587578257487,0.546875,0.030204962243797193,0.015625
1,AFCR11,Híbrido,107.9,0.00011842167590355739,0.03192338387869115,0.4042553191489362,0.0,0.0,0.0,0.14410480349344978,0.5815691158156912,0.592619926199262,0.7800851063829787,0.017348848591038173,0.031456003672204726,0.6484375,0.05231930960086299,0.0
2,ALMI11,Lajes Corporativas,1182.15,0.00020131684903604757,0.0,0.0,0.0,0.0,0.0,0.0,0.7073474470734744,0.6986469864698647,0.18978723404255315,0.058676635531818906,0.6318582885995894,0.2890625,0.7679611650485436,0.015625
3,ALZR11,Logística,128.79,0.1539718630098053,0.02274541101356744,0.21808510638297873,0.2804878048780488,0.45283018867924524,0.34532374100719426,0.43995633187772926,0.8488169364881694,0.8494464944649447,0.8611063829787233,0.12323697172237572,0.031758833054942814,0.8046875,0.0,0.109375
4,ARCT11,Outros,1194.0,0.0006986878878309886,0.7980845969672786,1.0,1.0,0.0,0.0,0.7543668122270742,0.8052303860523038,0.8445264452644526,0.9964255319148936,0.005157705426252455,0.3116082471597792,0.7734375,0.05231930960086299,0.03125
5,ARRI11,Títulos e Val. Mob.,86.96,0.0050566055610819,0.023543495610534718,0.398936170212766,0.3780487804878049,0.5660377358490566,0.0,0.46724890829694327,0.7349937733499378,0.7451414514145142,0.2958297872340425,0.008835308133225526,0.028698662450431612,0.5546875,0.05231930960086299,0.0
6,ATSA11,Shoppings,110.99,2.3684335180711476e-05,0.009976057462090982,0.09574468085106383,0.12195121951219513,0.20754716981132074,0.1798561151079137,0.04039301310043668,0.6692403486924035,0.6654366543665438,0.6900425531914893,0.05022306050818509,0.03428028612595153,0.6015625,0.2017259978425027,0.015625
7,BARI11,Títulos e Val. Mob.,105.6,0.122270380370423,0.03391859537110934,0.42021276595744683,0.43902439024390244,0.6792452830188679,0.5179856115107914,0.611353711790393,0.8647571606475716,0.8750307503075031,0.7451914893617021,0.05897686722010431,0.03071965012049422,0.6484375,0.05231930960086299,0.0
8,BBFI11B,Lajes Corporativas,2475.3,0.002309222680119369,1.0,0.5691489361702128,0.6341463414634146,0.9528301886792453,0.697841726618705,0.8755458515283843,0.7023661270236613,0.7205412054120541,0.4352340425531915,0.10940238302567334,1.0,0.4375,0.778856526429342,0.03125
9,BBPO11,Lajes Corporativas,138.61,0.16966273506702667,0.04309656823623305,0.41489361702127664,0.4451219512195122,0.6792452830188679,0.49640287769784175,0.6124454148471616,0.6605230386052304,0.6715867158671587,0.4965106382978723,0.4347808216562348,0.031328496563683424,0.890625,0.0,1.0
10,BBRC11,Outros,150.58,0.011155321870115106,0.03750997605746209,0.3297872340425532,0.4268292682926829,0.6509433962264151,0.48920863309352525,0.5895196506550219,0.7549190535491905,0.7616236162361624,0.7942127659574467,0.046217874418623205,0.03408583778545654,0.890625,0.05825242718446602,0.3125
12,BCFF11,Títulos e Val. Mob.,90.68,0.5660319264838236,0.017956903431763767,0.26063829787234044,0.29878048780487804,0.45283018867924524,0.36690647482014394,0.4344978165938865,0.8410958904109588,0.8440344403444036,0.561531914893617,0.46700753342511625,0.025890318385249977,0.6640625,0.05231930960086299,0.0
13,BCIA11,Títulos e Val. Mob.,124.89,0.10989531523850125,0.029928172386272947,0.29255319148936176,0.3048780487804878,0.45283018867924524,0.49640287769784175,0.42467248908296945,0.6391033623910336,0.6445264452644527,0.06740425531914895,0.052162859031978114,0.03616739133206676,0.65625,0.05231930960086299,0.0
14,BCRI11,Títulos e Val. Mob.,107.97,0.07910567950357633,0.02913008778930567,0.3563829787234043,0.43902439024390244,0.6509433962264151,0.48920863309352525,0.6561135371179039,0.6530510585305106,0.6615006150061501,0.5751489361702128,0.10050105814874123,0.032303925943871374,0.6328125,0.05231930960086299,0.0
15,BICR11,Títulos e Val. Mob.,99.95,0.0005684240443370755,0.011173184357541902,0.15425531914893617,0.12195121951219513,0.2641509433962264,0.0,0.29694323144104806,0.5686176836861768,0.5685116851168511,0.42144680851063826,0.012407207927715536,0.030738776186772416,0.609375,0.05231930960086299,0.0
16,BMLC11B,Lajes Corporativas,95.91,0.016306664771919853,0.022346368715083803,0.3191489361702128,0.3902439024390244,0.5754716981132075,0.3956834532374101,0.5120087336244542,0.6042341220423412,0.6113161131611315,0.5407659574468084,0.024359867556634242,0.02903655628801306,0.6171875,0.018338727076591153,0.03125
17,BNFS11,Outros,125.19,0.005542134432286486,0.03750997605746209,0.39361702127659576,0.45121951219512196,0.7264150943396226,0.525179856115108,0.6462882096069869,0.6371108343711083,0.6474784747847478,0.6997446808510638,0.017128538040364023,0.0296390273757762,0.84375,0.05231930960086299,0.28125
18,BPFF11,Títulos e Val. Mob.,81.84,0.2150300791056795,0.019952114924181964,0.3191489361702128,0.3597560975609756,0.5566037735849056,0.47482014388489213,0.5240174672489083,0.6961394769613948,0.7023370233702336,0.19387234042553186,0.06493653645809709,0.028195009371772477,0.5234375,0.05231930960086299,0.0
19,BPML11,Shoppings,97.26,0.06722798541044953,0.011173184357541902,0.1648936170212766,0.0,0.0,0.0,0.03384279475982533,0.6508094645080946,0.650430504305043,0.676595744680851,0.15667810050603576,0.04223672969768065,0.3828125,0.060409924487594385,0.109375
20,BRCO11,Logística,129.3,0.06927668040358106,0.021947326416600164,0.23404255319148937,0.2682926829268293,0.4339622641509434,0.0,0.39737991266375544,0.6473225404732253,0.6501845018450184,0.6663829787234042,0.3252408787209342,0.029664528797480463,0.875,0.0,0.15625
21,BRCR11,Híbrido,90.32,0.5681043058121359,0.01835594573024741,0.2712765957446809,0.3048780487804878,0.4622641509433962,0.36690647482014394,0.3799126637554585,0.6674968866749689,0.6718327183271833,0.45702127659574465,0.7640216386351605,0.03291277238706058,0.484375,0.133764832793959,0.1875
22,BTCR11,Títulos e Val. Mob.,85.54,0.04546208137937568,0.013168395849960097,0.2021276595744681,0.2621951219512195,0.4150943396226415,0.36690647482014394,0.42248908296943233,0.635118306351183,0.6366543665436655,0.48289361702127653,0.12471426388120362,0.029874915526540605,0.515625,0.05231930960086299,0.0
23,BTLG11,Logística,104.5,0.3852493960494529,0.013168395849960097,0.1648936170212766,0.25,0.4433962264150943,0.3381294964028777,0.4312227074235808,0.5574097135740971,0.5579335793357934,0.6868085106382977,0.19009834849120913,0.0313157458528313,0.625,0.0,0.125
24,BZLI11,Títulos e Val. Mob.,14.53,0.39938894415233767,0.0,0.0,0.0,0.0,0.0,0.0,0.6677459526774595,0.6595325953259532,0.6907234042553191,0.11481823556833266,0.002852971553164089,0.78125,0.05231930960086299,0.0
26,CBOP11,Lajes Corporativas,78.98,0.010361896641561272,0.019553072625698324,0.3351063829787234,0.3597560975609756,0.5377358490566037,0.41007194244604317,0.48908296943231444,0.8378580323785804,0.8445264452644526,0.4073191489361702,0.03186486593044776,0.026464100373595832,0.5390625,0.11186623516720604,0.015625
27,CEOC11,Lajes Corporativas,82.49,0.03361991378901994,0.02314445331205108,0.3723404255319149,0.4085365853658537,0.6320754716981132,0.460431654676259,0.5676855895196506,0.6251556662515566,0.634440344403444,0.4799999999999999,0.04713010443524269,0.03032437808407819,0.4765625,0.0,0.015625
28,CNES11,Lajes Corporativas,65.5,0.00400265264554024,0.009177972865123705,0.18617021276595744,0.21951219512195122,0.3962264150943396,0.22302158273381295,0.31986899563318777,0.7090909090909091,0.7092250922509225,0.31999999999999995,0.07468854125378456,0.029323447282185985,0.359375,0.3915857605177993,0.015625
29,CPFF11,Híbrido,77.4,0.05955426081189901,0.015961691939345574,0.2553191489361702,0.2621951219512195,0.0,0.0,0.3133187772925764,0.77733499377335,0.7800738007380075,0.395063829787234,0.09011735265732393,0.026097517436597092,0.53125,0.05231930960086299,0.0
30,CPTS11,Títulos e Val. Mob.,96.5,0.43820756951352374,0.029928172386272947,0.41489361702127664,0.43902439024390244,0.660377358490566,0.47482014388489213,0.601528384279476,0.6562889165628891,0.6674046740467404,0.5792340425531916,0.21346241191955273,0.0290110548663088,0.625,0.05231930960086299,0.0
31,CRFF11,Títulos e Val. Mob.,81.5,0.0023210648477097248,0.01675977653631285,0.2765957446808511,0.3231707317073171,0.4433962264150943,0.38129496402877705,0.44323144104803486,0.5496886674968867,0.5552275522755228,0.2277446808510638,0.016321942714971793,0.028701850128144645,0.5078125,0.05231930960086299,0.0
32,CTXT11,Lajes Corporativas,48.94,0.0060868741414428496,0.015163607342378293,0.4095744680851064,0.4573170731707317,0.7264150943396226,0.5035971223021583,0.648471615720524,0.6971357409713574,0.7077490774907749,0.4851063829787234,0.036486978624593706,0.016110523161666265,0.5390625,0.09277238403451996,0.015625
33,CVBI11,Títulos e Val. Mob.,96.55,0.08707545829188575,0.026735833998403832,0.3829787234042553,0.42073170731707316,0.6320754716981132,0.0,0.6102620087336245,0.735491905354919,0.7448954489544896,0.5637446808510638,0.09443563684714608,0.03096510130439772,0.5703125,0.05231930960086299,0.0
36,CXTL11,Logística,325.36,0.025389607313722702,0.05546687948922586,0.22340425531914895,0.18902439024390244,0.22641509433962262,0.1798561151079137,0.15502183406113537,0.8201743462017435,0.820910209102091,0.05668085106382976,0.010096638406138914,0.24368839812819565,0.1484375,0.2988133764832794,0.0625
37,DMAC11,Residencial,375.99,0.004417128511202691,0.10534716679968077,0.3776595744680851,0.4573170731707317,0.7075471698113207,0.5323741007194245,0.5753275109170305,0.6376089663760897,0.6472324723247233,0.0,0.02432118855565016,0.19042230354342254,0.3125,0.05231930960086299,0.0
38,DOMC11,Lajes Corporativas,440.0,0.01762114537444934,0.0,0.0,0.0,0.0,0.0,0.0,0.7591531755915317,0.7498154981549815,0.5011063829787233,0.06502083231586374,0.3175373277060196,0.1640625,0.2528586839266451,0.015625
39,DRIT11B,Lajes Corporativas,137.0,0.013500071053005542,0.011971268954509178,0.11702127659574468,0.15853658536585366,0.25471698113207547,0.23741007194244607,0.27729257641921395,0.5566625155666252,0.5549815498154982,0.5293617021276595,0.01535395590180935,0.04074489652798143,0.640625,0.06796116504854369,0.09375
40,EDFO11B,Lajes Corporativas,270.0,0.0,0.05387071029529131,0.2712765957446809,0.3353658536585366,0.5471698113207547,0.40287769784172667,0.49890829694323147,0.6321295143212952,0.6369003690036901,0.704,0.011937807341826631,0.06381730781491068,0.859375,0.07508090614886731,0.015625
41,EDGA11,Lajes Corporativas,30.51,0.03037515986926247,0.004788507581803671,0.2021276595744681,0.2865853658536585,0.36792452830188677,0.2877697841726619,0.3558951965065502,0.6821917808219179,0.6833948339483394,0.008851063829787167,0.08026225554776639,0.024200849197342753,0.125,0.4498381877022654,0.015625
42,EURO11,Logística,220.0,0.013689545734451233,0.029928172386272947,0.18617021276595744,0.23170731707317074,0.3584905660377358,0.2589928057553957,0.32751091703056767,0.7591531755915317,0.7586715867158672,0.7731063829787235,0.030804794895651803,0.09677152001224068,0.3828125,0.0,0.09375
43,FAED11,Outros,209.1,0.012540855478186728,0.05147645650438947,0.30851063829787234,0.3597560975609756,0.5754716981132075,0.4244604316546763,0.5294759825327511,0.801494396014944,0.8068880688806888,0.41770212765957443,0.03459618935604264,0.06444209264666505,0.6171875,0.0,0.046875
45,FCFL11,Outros,115.69,0.03730282790962058,0.02274541101356744,0.26595744680851063,0.3231707317073171,0.4716981132075471,0.34532374100719426,0.43558951965065507,0.7828144458281445,0.7859778597785978,0.43506382978723396,0.0984597648252597,0.03281714205566961,0.671875,0.0,0.015625
