,Ano/Mês,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
0,Atual,ABCP11,Shoppings,70.84,0.004384498027663114,0.006993006993006993,0.03658536585365853,0.19111111111111112,0.25862068965517243,0.21568627450980396,0.1608910891089109,0.6991385023194169,0.659141494435612,0.759510609826037,0.27961328380847983,0.02261005224323919,0.4693877551020408,0.11151960784313726,0.015625
1,Atual,AFCR11,Híbrido,110.3,0.007028025051656442,0.15104895104895105,0.5853658536585366,0.41777777777777775,0.5172413793103449,0.0,0.5618811881188119,0.5384360503644798,0.532591414944356,0.759510609826037,0.031291888756807336,0.026948850482181225,0.7346938775510204,0.06617647058823531,0.0
2,Atual,AIEC11,Lajes Corporativas,86.27,0.07684554380145599,0.07972027972027973,0.39634146341463417,0.28444444444444444,0.3563218390804598,0.0,0.38613861386138615,0.5294897282968853,0.5144674085850556,0.6677499522079908,0.1249805540727867,0.02591064796051499,0.5306122448979592,0.0,0.03125
3,Atual,ALMI11,Lajes Corporativas,1160.0,0.0002382381373442862,0.0,0.0,0.0,0.0,0.0,0.0,0.714049039098741,0.6715421303656598,0.18237430701586693,0.058860405124095815,0.5709281086392886,0.22448979591836732,0.8351715686274511,0.015625
4,Atual,ALZR11,Logística,128.0,0.05315459364362324,0.0951048951048951,0.32926829268292684,0.21777777777777774,0.235632183908046,0.26143790849673204,0.2301980198019802,0.5298210735586482,0.5112877583465819,0.6845727394379658,0.1186264295015532,0.026543562866771408,0.9285714285714286,0.0,0.203125
5,Atual,ARCT11,Híbrido,108.14,0.00806344464857584,0.13986013986013984,0.5,1.0,1.0,1.0,0.9257425742574258,0.9671968190854872,0.9430842607313196,0.6180462626648824,0.041460582960258924,0.026329815288781304,0.7346938775510204,0.06617647058823531,0.03125
6,Atual,ARRI11,Títulos e Val. Mob.,102.46,0.008177982214606746,0.15664335664335666,0.6768292682926829,0.4711111111111112,0.6149425287356323,0.5751633986928104,0.6844059405940595,0.27203445990722336,0.2788553259141495,0.9516344867138214,0.00902570630335095,0.02486411761113486,0.7346938775510204,0.06617647058823531,0.0
7,Atual,ATSA11,Shoppings,107.97,0.0,0.03496503496503496,0.1097560975609756,0.08888888888888889,0.1264367816091954,0.16339869281045752,0.045792079207920784,0.6633532140490391,0.6286168521462641,0.744217166889696,0.044122817396198666,0.02547482497682088,0.7653061224489796,0.2732843137254902,0.015625
8,Atual,BARI11,Títulos e Val. Mob.,106.7,0.06818650380951945,0.14965034965034965,0.6097560975609756,0.4266666666666665,0.7298850574712644,0.6993464052287582,0.7512376237623762,0.5593108018555335,0.5542130365659776,0.7119097686866754,0.1217486281025162,0.026310383690782202,0.7244897959183674,0.06617647058823531,0.0
9,Atual,BBFO11,Títulos e Val. Mob.,87.98,0.005713133793621632,0.06993006993006992,0.3414634146341464,0.2355555555555556,0.0,0.0,0.3143564356435644,0.6242544731610338,0.6028616852146264,0.6721468170521888,0.0986862328273625,0.024608730894575253,0.5918367346938775,0.06617647058823531,0.0
10,Atual,BBPO11,Lajes Corporativas,114.1,0.08355744517086715,0.15104895104895105,0.573170731707317,0.4133333333333333,0.5344827586206897,0.5490196078431372,0.5816831683168316,0.6136514247846255,0.6047694753577108,0.8216402217549225,0.4152917968411612,0.025980046524797497,0.8163265306122449,0.0,1.0
11,Atual,BBRC11,Outros,116.0,0.0029229986851087423,0.12167832167832167,0.4573170731707317,0.3466666666666667,0.4310344827586207,0.4640522875816993,0.4764851485148514,0.6000662690523525,0.5856915739268679,0.6398394188491684,0.0467138525775232,0.029988507597754812,0.6836734693877551,0.06617647058823531,0.3125
12,Atual,BCFF11,Títulos e Val. Mob.,85.71,0.16864511222390718,0.06993006993006992,0.3475609756097561,0.27555555555555555,0.3448275862068965,0.3594771241830065,0.3032178217821782,0.7127236580516899,0.6890302066772654,0.6645000955840182,0.5533950339562297,0.02153853841071736,0.6836734693877551,0.06617647058823531,0.0
13,Atual,BCIA11,Títulos e Val. Mob.,96.26,0.056989311354338,0.08951048951048951,0.39634146341463417,0.28,0.3505747126436782,0.3660130718954249,0.3787128712871287,0.5099403578528827,0.4957074721780605,0.5117568342573121,0.10809884219698512,0.0293389370360706,0.5306122448979592,0.06617647058823531,0.0
14,Atual,BCRI11,Títulos e Val. Mob.,112.25,0.10615341619744444,0.2223776223776224,0.8414634146341463,0.5422222222222222,0.603448275862069,0.607843137254902,0.655940594059406,0.5361166335321405,0.5430842607313195,0.7782450774230548,0.1213903021876356,0.027726114402145247,0.7244897959183674,0.06617647058823531,0.0
15,Atual,BICR11,Títulos e Val. Mob.,94.91,0.000201586116214396,0.04895104895104895,0.22560975609756095,0.14666666666666667,0.16666666666666666,0.16339869281045752,0.1806930693069307,0.7080848243870113,0.67758346581876,0.6474861403173389,0.012051289271709184,0.02555810325395988,0.6326530612244898,0.06617647058823531,0.0
16,Atual,BLCP11,Outros,98.28,0.00024740114262675867,0.08671328671328671,0.3780487804878049,0.28444444444444444,0.3908045977011495,0.0,0.3254950495049505,0.5152418820410869,0.4995230524642289,0.6964251577136302,0.04989844023110968,0.026249312954213604,0.6428571428571429,0.06617647058823531,0.03125
17,Atual,BLMG11,Outros,101.75,0.3384951596424595,0.1020979020979021,0.4329268292682927,0.3111111111111111,0.0,0.0,0.2586633663366337,0.5381047051027171,0.5246422893481717,0.704263047218505,0.09744790584998367,0.02560529427767198,0.7040816326530612,0.0,0.015625
18,Atual,BLMR11,Títulos e Val. Mob.,82.5,0.03956127530707521,0.09090909090909093,0.4573170731707317,0.0,0.0,0.0,0.228960396039604,0.5417495029821074,0.529093799682035,0.6713821449053717,0.06254032229919049,0.02455876392829185,0.5408163265306123,0.06617647058823531,0.0
19,Atual,BMLC11,Lajes Corporativas,90.97,0.00034361269809272043,0.07412587412587412,0.35365853658536583,0.2444444444444445,0.3505747126436782,0.3986928104575163,0.275990099009901,0.5931080185553347,0.5736089030206678,0.6895431083922768,0.02692787916005144,0.02774554600014435,0.5204081632653061,0.06617647058823531,0.03125
20,Atual,BNFS11,Outros,123.6,0.0008521594912699468,0.1608391608391608,0.5609756097560976,0.3911111111111111,0.4885057471264368,0.5228758169934641,0.525990099009901,0.6749502982107356,0.6635930047694754,0.7683043395144331,0.01807016140272641,0.02688500380304132,0.8673469387755102,0.06617647058823531,0.28125
21,Atual,BPFF11,Títulos e Val. Mob.,78.55,0.0716913533300652,0.07972027972027973,0.4390243902439024,0.3244444444444444,0.4137931034482759,0.4313725490196079,0.448019801980198,0.7057654075546721,0.6868044515103339,0.7728923723953355,0.09806028117259898,0.02157462566414426,0.6020408163265306,0.06617647058823531,0.0
22,Atual,BRCO11,Logística,110.0,0.6911196734304917,0.07552447552447553,0.29878048780487804,0.21777777777777774,0.27586206896551724,0.3006535947712418,0.3007425742574257,0.5944333996023857,0.5720190779014308,0.6910724526859109,0.4160460078777962,0.02818692086898106,0.6836734693877551,0.07230392156862746,0.15625
23,Atual,BRCR11,Híbrido,83.37,0.1375733613110428,0.06433566433566433,0.32926829268292684,0.2444444444444445,0.3160919540229885,0.33986928104575165,0.2042079207920792,0.6474486414844268,0.6248012718600954,0.7489963678073026,0.7433879979522615,0.027900998784137158,0.4489795918367347,0.2732843137254902,0.21875
24,Atual,BREV11,Híbrido,106.51,0.0,0.05874125874125874,0.2378048780487805,0.17333333333333334,0.2183908045977012,0.0,0.1745049504950495,0.6000662690523525,0.5745627980922098,0.6119288854903461,0.02491439839036873,0.02751236682415514,0.6734693877551021,0.2573529411764706,0.1875
25,Atual,BTAL11,Outros,101.56,0.038562507731285715,0.06713286713286712,0.2804878048780488,0.0,0.0,0.0,0.099009900990099,0.6000662690523525,0.5764705882352942,0.7159242974574649,0.15551410426042794,0.025971718697083597,0.6836734693877551,0.06617647058823531,0.109375
26,Atual,BTCR11,Títulos e Val. Mob.,93.9,0.043052380319697256,0.09370629370629373,0.4329268292682927,0.30666666666666664,0.37931034482758624,0.3660130718954249,0.33663366336633666,0.6948310139165009,0.6759936406995231,0.8952399158860638,0.12025642122970726,0.02494739588827386,0.6428571428571429,0.06617647058823531,0.0
27,Atual,BTLG11,Logística,112.88,0.22332076474442086,0.09790209790209788,0.3780487804878049,0.2533333333333333,0.3160919540229885,0.3333333333333333,0.2747524752475248,0.6660039761431412,0.6454689984101748,0.6797935385203593,0.3391373665933427,0.0260272375485096,0.7959183673469388,0.0,0.234375
