,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
6,7,BARI11,Títulos e Val. Mob.,105.0,0.04218383820848885,0.0554885404101327,0.4484536082474227,0.5337837837837838,0.5793650793650793,0.5107913669064749,0.6221153846153846,0.5789821546596167,0.5888864771000651,0.7203403698249059,0.057529759991792516,0.027868343424934012,0.5929203539823009,0.06063829787234042,0.0,5
7,9,BBPO11,Lajes Corporativas,139.87,0.12462664086552945,0.06513872135102534,0.4020618556701031,0.5202702702702703,0.5714285714285714,0.5035971223021583,0.6153846153846154,0.6080634500991408,0.6160191013674843,0.5020454917362134,0.4281717841180753,0.028236356213378413,0.8849557522123894,0.0,1.0,5
8,10,BBRC11,Outros,147.5,0.0032727959684872125,0.056694813027744276,0.3247422680412371,0.4527027027027027,0.5317460317460317,0.4892086330935253,0.5798076923076924,0.5952853051332893,0.5999565878011721,0.7758141057110128,0.0446085459011713,0.030754943734294764,0.8495575221238938,0.0574468085106383,0.3125,5
11,14,BCRI11,Títulos e Val. Mob.,107.8,0.06144789310568425,0.04825090470446322,0.3814432989690722,0.472972972972973,0.5555555555555555,0.4964028776978418,0.6490384615384616,0.5895571711830799,0.5967006728890819,0.5640648011782032,0.09814923182718456,0.02911326168584358,0.5752212389380531,0.06063829787234042,0.0,5
14,17,BNFS11,Outros,125.42,0.00211889286571325,0.05729794933655007,0.3865979381443299,0.5067567567567568,0.6031746031746031,0.5323741007194245,0.6423076923076922,0.5948446794448117,0.6023442587367049,0.6872852233676976,0.01584578640048999,0.02672117856095499,0.8230088495575221,0.06063829787234042,0.28125,5
26,30,CPTS11,Títulos e Val. Mob.,99.03,0.3424794620565004,0.04342581423401689,0.3711340206185567,0.5067567567567568,0.5634920634920635,0.4820143884892087,0.6,0.6981714033928178,0.7039288039939223,0.6444117165766651,0.20882090853174504,0.026036904782441188,0.6017699115044248,0.06063829787234042,0.0,5
29,33,CVBI11,Títulos e Val. Mob.,99.0,0.05111382284013336,0.04523522316043426,0.4020618556701031,0.4864864864864865,0.5317460317460317,0.4892086330935253,0.6125,0.7061026657854153,0.7132624267419144,0.6354115529373261,0.09247969102356393,0.028006348220600663,0.5398230088495575,0.06063829787234042,0.0,5
42,50,FIIP11B,Logística,193.5,0.002113787099771772,0.052472858866103735,0.2371134020618557,0.26351351351351354,1.0,0.7050359712230216,1.0,0.5875743555849307,0.5886694161059258,0.6758304696449026,0.04713136121508705,0.056268580333166576,0.5221238938053098,0.0,0.109375,5
52,62,HABT11,Títulos e Val. Mob.,114.4,0.09569226527517526,0.060313630880579026,0.4484536082474227,0.5945945945945946,0.6269841269841271,0.5755395683453238,0.7182692307692308,0.7279136373650583,0.7371391360972434,0.7725413189330714,0.14381989070513387,0.02816447871563537,0.6637168141592921,0.06063829787234042,0.0,5
55,65,HCRI11,Hospital,431.04,0.0014449317614381922,0.15681544028950545,0.2938144329896907,0.39864864864864863,0.492063492063492,0.4460431654676259,0.5403846153846154,0.7294558272747301,0.7317126112437595,0.8679430535100638,0.013515913397903388,0.08308463719114237,0.9734513274336284,0.0,0.015625,5
71,82,IRDM11,Títulos e Val. Mob.,129.6,0.2792547624031819,0.06996381182147167,0.4690721649484537,0.5675675675675675,0.6190476190476191,0.5539568345323741,0.6759615384615385,0.7631636924432694,0.7729542001302365,0.917198494518082,0.2998658162959045,0.02740832743937852,0.831858407079646,0.06063829787234042,0.0,5
88,101,MFII11,Híbrido,130.49,0.024538311114741883,0.06091676718938481,0.4020618556701031,0.5270270270270271,0.634920634920635,0.5827338129496403,0.7048076923076922,0.6765807446574136,0.6839591925331018,0.6949762722958599,0.07453006626673013,0.032094740292225164,0.6725663716814161,0.06063829787234042,0.140625,5
95,109,NSLU11,Hospital,280.0,0.0062596690442516725,0.10916767189384803,0.3402061855670103,0.6081081081081081,0.7301587301587302,0.5755395683453238,0.6711538461538462,0.5765587133729897,0.5821575862817452,0.9672721322205858,0.05627825977763719,0.054005876704215465,0.9646017699115044,0.0,0.015625,5
105,122,PORD11,Títulos e Val. Mob.,99.99,0.02341504260761678,0.04945717732207479,0.42268041237113396,0.5,0.5634920634920635,0.7985611510791368,0.6432692307692308,0.6067415730337078,0.6155849793792055,0.6615938471608575,0.05113015430457834,0.0281817293150937,0.5398230088495575,0.06063829787234042,0.0,5
126,147,RECR11,Títulos e Val. Mob.,99.9,0.25233716435971143,0.07901085645355851,0.6958762886597939,0.6554054054054054,0.6666666666666666,0.5755395683453238,0.7519230769230769,0.4664022912535801,0.4866507488604298,0.6334478808705611,0.18643683006946066,0.027135192947954943,0.5752212389380531,0.06063829787234042,0.0,5
127,148,RECT11,Híbrido,96.02,0.16360405806277029,0.04342581423401689,0.3814432989690722,0.5202702702702703,0.634920634920635,0.6115107913669064,0.698076923076923,0.570169640890064,0.5773822444106794,0.6838487972508591,0.17724348261692602,0.026824682157704977,0.5486725663716814,0.1127659574468085,0.109375,5
137,158,SPTW11,Lajes Corporativas,90.19,0.017609786732156626,0.04523522316043426,0.42268041237113396,0.6148648648648649,0.6587301587301587,0.6258992805755396,0.7480769230769231,0.8468825732540206,0.8539179509442154,0.8795614465717558,0.03434140023549489,0.020956603241962656,0.7168141592920354,0.0,0.015625,5
